(22/05/2025 09:21:09): Aplicación iniciada
(22/05/2025 09:21:09): Error: División por cero
(22/05/2025 09:21:09): Mensaje de nivel FINE
(22/05/2025 09:21:09): Mensaje de nivel FINER
(22/05/2025 09:21:09): Mensaje de nivel FINEST
(22/05/2025 09:21:09): Mensaje de nivel CONFIG
(22/05/2025 09:21:09): Mensaje de nivel WARNING
(22/05/2025 09:21:09): Mensaje de nivel SEVERE
(22/05/2025 09:21:09): Mensaje de nivel INFO
(22/05/2025 09:21:09): Mensaje de nivel ALL
(22/05/2025 09:21:09): Mensaje de nivel OFF
(22/05/2025 09:21:09): Aplicación finalizada
